ds,y
1990-1-16 20:0:0,178.37
1990-1-16 21:0:0,174.97
1990-1-16 22:0:0,161.68
1990-1-16 23:0:0,152.65
1990-1-17 0:0:0,141.13
1990-1-17 1:0:0,134.64
1990-1-17 2:0:0,133.79
1990-1-17 3:0:0,135.07
1990-1-17 4:0:0,142.52
1990-1-17 5:0:0,150.23
1990-1-17 6:0:0,173.66
1990-1-17 7:0:0,196.72
1990-1-17 8:0:0,203.96
1990-1-17 9:0:0,198.51
1990-1-17 10:0:0,192.32
1990-1-17 11:0:0,186.93
1990-1-17 12:0:0,186.48
1990-1-17 13:0:0,188.23
1990-1-17 14:0:0,185.08
1990-1-17 15:0:0,182.23
1990-1-17 16:0:0,190.51
1990-1-17 17:0:0,191.16
1990-1-17 18:0:0,194.99
1990-1-17 19:0:0,195.8
1990-1-17 20:0:0,193.4
1990-1-17 21:0:0,191.32
1990-1-17 22:0:0,181.5
1990-1-17 23:0:0,171.3
1990-1-18 0:0:0,160.73
1990-1-18 1:0:0,153.54
1990-1-18 2:0:0,149.13
1990-1-18 3:0:0,149.31
1990-1-18 4:0:0,153.46
1990-1-18 5:0:0,162.66
1990-1-18 6:0:0,188.05
1990-1-18 7:0:0,226.26
1990-1-18 8:0:0,226.5
1990-1-18 9:0:0,219.36
1990-1-18 10:0:0,221.41
1990-1-18 11:0:0,213.87
1990-1-18 12:0:0,217.49
1990-1-18 13:0:0,232.87
1990-1-18 14:0:0,231.14
1990-1-18 15:0:0,213.15
1990-1-18 16:0:0,203.7
1990-1-18 17:0:0,196.65
1990-1-18 18:0:0,201.95
1990-1-18 19:0:0,203.53
1990-1-18 20:0:0,203.82
1990-1-18 21:0:0,198.75
1990-1-18 22:0:0,183.02
1990-1-18 23:0:0,176.11
1990-1-18 0:0:0,158.67
1990-1-19 1:0:0,154.97
1990-1-19 2:0:0,152.79
1990-1-19 3:0:0,149.54
1990-1-19 4:0:0,149.58
1990-1-19 5:0:0,167.13
1990-1-19 6:0:0,196.55
1990-1-19 7:0:0,216.17
1990-1-19 8:0:0,227.95
1990-1-19 9:0:0,227.97
1990-1-19 10:0:0,222.15
1990-1-19 11:0:0,214.72
1990-1-19 12:0:0,197.21
1990-1-19 13:0:0,193.07
1990-1-19 14:0:0,195.84
1990-1-19 15:0:0,193.36
1990-1-19 16:0:0,194.64
1990-1-19 17:0:0,199.08
1990-1-19 18:0:0,205.49
1990-1-19 19:0:0,192.28
1990-1-19 20:0:0,182.92
1990-1-19 21:0:0,173.6
1990-1-19 22:0:0,172.16
1990-1-19 23:0:0,167.28
1990-1-20 0:0:0,161.85
1990-1-20 1:0:0,156.13
1990-1-20 2:0:0,153.99
1990-1-20 3:0:0,154.8
1990-1-20 4:0:0,155.58
1990-1-20 5:0:0,158.35
1990-1-20 6:0:0,168.23
1990-1-20 7:0:0,175.76
1990-1-20 8:0:0,189.31
1990-1-20 9:0:0,196.84
1990-1-20 10:0:0,202.35
1990-1-20 11:0:0,203.15
1990-1-20 12:0:0,188.64
1990-1-20 13:0:0,180.24
1990-1-20 14:0:0,179.38
1990-1-20 15:0:0,178.91
1990-1-20 16:0:0,179.42
1990-1-20 17:0:0,188.95
1990-1-20 18:0:0,194.56
1990-1-20 19:0:0,191.47
1990-1-20 20:0:0,181.17
1990-1-20 21:0:0,175.07
1990-1-20 22:0:0,168.07
1990-1-20 23:0:0,160.79
1990-1-21 0:0:0,153.6
1990-1-21 1:0:0,155.76
1990-1-21 2:0:0,153.67
1990-1-21 3:0:0,153.77
1990-1-21 4:0:0,154.11
1990-1-21 5:0:0,155.35
1990-1-21 6:0:0,160.54
1990-1-21 7:0:0,162.49
1990-1-21 8:0:0,164.43
1990-1-21 9:0:0,167.79
1990-1-21 10:0:0,177.73
1990-1-21 11:0:0,183.94
1990-1-21 12:0:0,180.85
1990-1-21 13:0:0,180.64
1990-1-21 14:0:0,178.87
1990-1-21 15:0:0,176.84
