1989-7-10 9:0:0;52.78
1989-7-10 10:0:0;53.97
1989-7-10 11:0:0;55.91
1989-7-10 12:0:0;55.13
1989-7-10 13:0:0;54.2
1989-7-10 14:0:0;53.22
1989-7-10 15:0:0;51.86
1989-7-10 16:0:0;50.33
1989-7-10 17:0:0;50.62
1989-7-10 18:0:0;51.62
1989-7-10 19:0:0;51.76
1989-7-10 20:0:0;52.84
1989-7-10 21:0:0;51.19
1989-7-10 22:0:0;51.21
1989-7-10 23:0:0;51.51
1989-7-11 0:0:0;50.01
1989-7-11 1:0:0;49.15
1989-7-11 2:0:0;48.08
1989-7-11 3:0:0;45.04
1989-7-11 4:0:0;45.41
1989-7-11 5:0:0;46.22
1989-7-11 6:0:0;47.36
1989-7-11 7:0:0;48.81
1989-7-11 8:0:0;51.76
1989-7-11 9:0:0;53.59
1989-7-11 10:0:0;55.38
1989-7-11 11:0:0;55.24
1989-7-11 12:0:0;54.2
1989-7-11 13:0:0;55.68
1989-7-11 14:0:0;54.73
1989-7-11 15:0:0;53.65
1989-7-11 16:0:0;51.43
1989-7-11 17:0:0;52.06
1989-7-11 18:0:0;53.06
1989-7-11 19:0:0;53.75
1989-7-11 20:0:0;53.59
1989-7-11 21:0:0;53.1
1989-7-11 22:0:0;52.19
1989-7-11 23:0:0;51.86
1989-7-12 0:0:0;50.33
1989-7-12 1:0:0;48.6
1989-7-12 2:0:0;47.71
1989-7-12 3:0:0;47.63
1989-7-12 4:0:0;47.53
1989-7-12 5:0:0;47.42
1989-7-12 6:0:0;48.75
1989-7-12 7:0:0;51.72
1989-7-12 8:0:0;52.94
1989-7-12 9:0:0;55.74
1989-7-12 10:0:0;56.7
1989-7-12 11:0:0;57.84
1989-7-12 12:0:0;57.72
1989-7-12 13:0:0;56.66
1989-7-12 14:0:0;56.9
1989-7-12 15:0:0;54.14
1989-7-12 16:0:0;52.23
1989-7-12 17:0:0;51.72
1989-7-12 18:0:0;55.91
1989-7-12 19:0:0;57.58
1989-7-12 20:0:0;57.35
1989-7-12 21:0:0;55.93
1989-7-12 22:0:0;55.01
1989-7-12 23:0:0;53.85
1989-7-13 0:0:0;52.17
1989-7-13 1:0:0;50.21
1989-7-13 2:0:0;49.44
1989-7-13 3:0:0;48.63
1989-7-13 4:0:0;49.24
1989-7-13 5:0:0;49.17
1989-7-13 6:0:0;50.27
1989-7-13 7:0:0;54.34
1989-7-13 8:0:0;56.01
1989-7-13 9:0:0;59.16
1989-7-13 10:0:0;58.92
1989-7-13 11:0:0;58.74
1989-7-13 12:0:0;58.72
1989-7-13 13:0:0;58.51
1989-7-13 14:0:0;57.25
1989-7-13 15:0:0;57.6
1989-7-13 16:0:0;55.85
1989-7-13 17:0:0;56.66
1989-7-13 18:0:0;58.06
1989-7-13 19:0:0;59.63
1989-7-13 20:0:0;60.75
1989-7-13 21:0:0;59.75
1989-7-13 22:0:0;58.19
1989-7-13 23:0:0;57.96
1989-7-14 0:0:0;55.48
1989-7-14 1:0:0;54.02
1989-7-14 2:0:0;53.75
1989-7-14 3:0:0;53.26
1989-7-14 4:0:0;53.1
1989-7-14 5:0:0;54.18
1989-7-14 6:0:0;55.62
1989-7-14 7:0:0;60.22
1989-7-14 8:0:0;62.58
1989-7-14 9:0:0;64.15
1989-7-14 10:0:0;66.18
1989-7-14 11:0:0;64.9
1989-7-14 12:0:0;61.6
1989-7-14 13:0:0;61.73
1989-7-14 14:0:0;61.97
1989-7-14 15:0:0;57.96
1989-7-14 16:0:0;57.51
1989-7-14 17:0:0;56.64
1989-7-14 18:0:0;58.45
1989-7-14 19:0:0;60.2
1989-7-14 20:0:0;60.4
1989-7-14 21:0:0;53.59
1989-7-14 22:0:0;57.45
1989-7-14 23:0:0;57.29
1989-7-15 0:0:0;56.42
1989-7-15 1:0:0;54.81
1989-7-15 2:0:0;54.42
1989-7-15 3:0:0;55.46
1989-7-15 4:0:0;54.97
1989-7-15 5:0:0;54.93
1989-7-15 6:0:0;55.05
